id,name,affiliation,homepage,scholarid,dblpid,subareas
f1,Onur Mutlu,ETH Zurich,,,m/OnurMutlu,Computer Architecture
f2,Yuan Xie,Unknown,,,x/YuanXie,Computer Architecture
f3,Yao-Wen Chang,Unknown,,,c/YaoWenChang,EDA
f4,Bei Yu,Unknown,,,28/4556-1,EDA
f5,Rui Paulo Martins,Unknown,,,m/RuiPauloMartins,Circuits & VLSI Design
f6,Mohsen Imani,Univ. of California - Irvine,,,139/8964,EDA
f7,Shaojun Wei,Unknown,,,39/6160,EDA
f8,Leibo Liu,Unknown,,,55/17,Computer Architecture
f9,Meng-Fan Chang,Unknown,,,89/6934,Circuits & VLSI Design
f10,Nan Sun,Unknown,,,17/5023-1,Circuits & VLSI Design
f11,David Z. Pan,University of Texas at Austin,,,p/DavidZhigangPan,EDA
f12,Yiran Chen,Unknown,,,80/1641,EDA
f13,Kofi A. A. Makinwa,Unknown,,,25/1606,Circuits & VLSI Design
f14,Shouyi Yin,Unknown,,,98/3428,EDA
f15,Yibo Lin,Peking University,,,98/8892,EDA
f16,Josep Torrellas,Univ. of Illinois at Urbana-Champaign,,,t/JosepTorrellas,Computer Architecture
f17,Xuehai Qian,Tsinghua University,,,42/5189,Computer Architecture
f18,Huazhong Yang,Unknown,,,94/1128,EDA
f19,Yanzhi Wang,Unknown,,,45/7737-1,EDA
f20,Ulf Schlichtmann,Unknown,,,07/6841,EDA
f21,Ying Wang,Unknown,,,94/3104-1,EDA
f22,Jianli Chen,Unknown,,,68/9945,EDA
f23,Youtao Zhang,University of Pittsburgh,,,z/YoutaoZhang,Computer Architecture
f24,Nam Sung Kim,Univ. of Illinois at Urbana-Champaign,,,18/1402,Computer Architecture
f25,Xiyuan Tang,Unknown,,,172/1912,Circuits & VLSI Design
f26,Ru Huang,Unknown,,,47/5619-1,EDA
f27,David T. Blaauw,University of Michigan,,,b/DBlaauw,Circuits & VLSI Design
f28,Tsung-Yi Ho,Chinese University of Hong Kong,,,63/4181,EDA
f29,Jun Yang,Unknown,,,y/JunYang2,Computer Architecture
f30,Jason Cong,Univ. of California - Los Angeles,,,c/JasonCong,EDA
f31,Hua Wang,Unknown,,,33/3535-6,Circuits & VLSI Design
f32,Patrick P. Mercier,Unknown,,,23/5937,Circuits & VLSI Design
f33,Hai Li,Unknown,,,30/5330-1,EDA
f34,Mahmut Taylan Kandemir,Pennsylvania State University,,,k/MahmutTKandemir,Computer Architecture
f35,Frederic T. Chong,University of Chicago,,,c/FTChong,Computer Architecture
f36,Muhammad Shafique,Unknown,,,s/MuhammadShafique,EDA
f37,Arijit Raychowdhury,Unknown,,,60/4440,Circuits & VLSI Design
f38,Yun Liang,Unknown,,,83/2265,EDA
f39,Martin D. F. Wong,Hong Kong Baptist University,,,w/MartinDFWong,EDA
f40,Tushar Krishna,Georgia Institute of Technology,,,50/2421,Computer Architecture
f41,Sung Kyu Lim,Unknown,,,58/2235,EDA
f42,Jangwoo Kim,Seoul National University,,,04/2187,Computer Architecture
f43,Mike Shuo-Wei Chen,Unknown,,,94/3798,Circuits & VLSI Design
f44,Christopher W. Fletcher,Univ. of California - Berkeley,,,25/8166,Computer Architecture
f45,David Brooks,Unknown,,,30/135,Computer Architecture
f46,Brucek Khailany,Unknown,,,29/3580,EDA
f47,Tajana Rosing,Univ. of California - San Diego,,,s/TajanaSimunic,EDA
f48,Yufei Ding,Unknown,,,127/9591,Computer Architecture
f49,Jeremie S. Kim,Unknown,,,148/9733,Computer Architecture
f50,Daniel Sánchez,Unknown,,,67/2030-3,Computer Architecture
f51,Xuan Zeng,Unknown,,,58/5418-1,EDA
f52,Jiang Hu,Texas A&M University,,,20/5455-1,EDA
f53,Yu Wang,Unknown,,,w/YuWang2,EDA
f54,Yiyu Shi,Unknown,,,94/5536,EDA
f55,Margaret Martonosi,Princeton University,,,m/MargaretMartonosi,Computer Architecture
f56,Hai Jin,Unknown,,,98/4156,Computer Architecture
f57,Zhiru Zhang,Cornell University,,,81/4227,EDA
f58,Jie-Hong R. Jiang,Unknown,,,13/2622,EDA
f59,Yuan-Hao Chang,Unknown,,,49/2395,EDA
f60,Joel S. Emer,Unknown,,,73/2231,Computer Architecture
f61,Yongpan Liu,Unknown,,,15/2486,Circuits & VLSI Design
f62,Yinhe Han,Unknown,,,32/2695-1,EDA
f63,Moinuddin K. Qureshi,Georgia Institute of Technology,,,60/6934,Computer Architecture
f64,Farinaz Koushanfar,Univ. of California - San Diego,,,k/FarinazKoushanfar,EDA
f65,Haoxing Ren,Unknown,,,58/2578,EDA
f66,John Kim,Unknown,,,39/6945-1,Computer Architecture
f67,Xiaobo Hu,University of Notre Dame,,,h/XiaoboSharonHu,EDA
f68,Caiwen Ding,University of Minnesota,,,175/2489,EDA
f69,Yingyan Lin,Unknown,,,120/6981,EDA
f70,Gu-Yeon Wei,Unknown,,,21/5583,Computer Architecture
f71,Vijay Janapa Reddi,Unknown,,,88/2610,Computer Architecture
f72,Sachin S. Sapatnekar,Unknown,,,s/SachinSSapatnekar,EDA
f73,Luca Benini,ETH Zurich,,,b/LucaBenini,EDA
f74,Evangeline F. Y. Young,Chinese University of Hong Kong,,,y/EFYYoung,EDA
f75,Krste Asanovic,Unknown,,,a/KrsteAsanovic,Computer Architecture
f76,Sreenivas Subramoney,Unknown,,,36/1380,Computer Architecture
f77,Deming Chen,Univ. of Illinois at Urbana-Champaign,,,37/1234,EDA
f78,Yan Solihin,University of Central Florida,,,11/2624,Computer Architecture
f79,Yuhao Zhu,Unknown,,,72/8314-1,Computer Architecture
f80,Vivek De,Unknown,,,97/3334,Circuits & VLSI Design
f81,Ren-Shuo Liu,Unknown,,,124/2061,Circuits & VLSI Design
f82,Dennis Sylvester,Unknown,,,83/6040,Circuits & VLSI Design
f83,Anantha P. Chandrakasan,Unknown,,,c/AnanthaChandrakasan,Circuits & VLSI Design
f84,Hoi-Jun Yoo,Unknown,,,37/2676,Circuits & VLSI Design
f85,Pui-In Mak,Unknown,,,81/6224,Circuits & VLSI Design
f86,Fan Yang,Unknown,,,29/3081-1,EDA
f87,Borivoje Nikolic,Univ. of California - Berkeley,,,40/6998,Computer Architecture
f88,Hussam Amrouch,TU Munich,,,94/10663,EDA
f89,Xiaoming Chen,Unknown,,,72/2676-3,EDA
f90,Robert Wille,TU Munich,,,98/1744,EDA
f91,Carole-Jean Wu,Unknown,,,26/9655,Computer Architecture
f92,Xiaofei Liao,HUST,,,56/4402,Computer Architecture
f93,Ke-Horng Chen,Unknown,,,00/5908,Circuits & VLSI Design
f94,Jaehyouk Choi,Unknown,,,94/9428,Circuits & VLSI Design
f95,Zhihua Wang,Unknown,,,66/6802-1,Circuits & VLSI Design
f96,Wujie Wen,North Carolina State University,,,70/11466,EDA
f97,Andrew B. Kahng,Univ. of California - San Diego,,,k/AndrewBKahng,EDA
f98,Xuan Zhang,Unknown,,,36/31-1,EDA
f99,Shuangchen Li,Unknown,,,91/9920,Computer Architecture
f100,Jörg Henkel,Karlsruhe Inst. of Technology,,,h/JorgHenkel,EDA
f101,Tei-Wei Kuo,National Taiwan University,,,07/3181,EDA
f102,Myoungsoo Jung,KAIST,,,115/6279,Computer Architecture
f103,Juan Gómez-Luna,Unknown,,,28/7411,Computer Architecture
f104,Xiaowei Li,Unknown,,,37/5372-1,EDA
f105,David Wentzlaff,Princeton University,,,49/4239,Computer Architecture
f106,Amro Awad,North Carolina State University,,,147/0999,Computer Architecture
f107,Lois Orosa,Unknown,,,06/10860-1,Computer Architecture
f108,Youngcheol Chae,Unknown,,,39/1938,Circuits & VLSI Design
f109,Chih-Cheng Hsieh,Unknown,,,30/9427,Circuits & VLSI Design
f110,Kea-Tiong Tang,Unknown,,,14/9801,Circuits & VLSI Design
f111,Fengbin Tu,HKUST,,,161/0248,EDA
f112,Weiwen Jiang,George Mason University,,,151/4529,EDA
f113,Wanli Chang,Unknown,,,67/3746,EDA
f114,Saugata Ghose,Univ. of Illinois at Urbana-Champaign,,,94/7357,Computer Architecture
f115,Tsung-Wei Huang,University of Wisconsin - Madison,,,13/7933,EDA
f116,Huawei Li,Unknown,,,70/576-1,EDA
f117,Vijaykrishnan Narayanan,Pennsylvania State University,,,v/NarayananVijaykrishnan,EDA
f118,Xunzhao Yin,Zhejiang University,,,179/2993,EDA
f119,Mingoo Seok,Unknown,,,64/3916,Circuits & VLSI Design
f120,Minsoo Rhu,KAIST,,,02/8105,Computer Architecture
f121,Jae W. Lee,Seoul National University,,,21/4685,Computer Architecture
f122,Minesh Patel,Rutgers University,,,147/0857,Computer Architecture
f123,Shian-Ru Lin,Unknown,,,164/4199,Circuits & VLSI Design
f124,Tsung-Yen Tsai,Unknown,,,32/10348,Circuits & VLSI Design
f125,Kenichi Okada,Unknown,,,45/2122-1,Circuits & VLSI Design
f126,Salvatore Levantino,Unknown,,,25/6689,Circuits & VLSI Design
f127,Benton H. Calhoun,Unknown,,,15/4871,Circuits & VLSI Design
f128,Yu-Der Chih,Unknown,,,79/10249,Circuits & VLSI Design
f129,Yan Zhu,Unknown,,,82/3167-1,Circuits & VLSI Design
f130,Chi-Hang Chan,Unknown,,,87/4252,Circuits & VLSI Design
f131,Cheng Zhuo,Zhejiang University,,,05/853,EDA
f132,Ahmad-Reza Sadeghi,TU Darmstadt,,,s/AhmadRezaSadeghi,EDA
f133,Xing Hu,Unknown,,,49/10052-1,Computer Architecture
f134,Krishnendu Chakrabarty,Arizona State University,,,c/KrishnenduChakrabarty,EDA
f135,Ramesh Karri,New York University,,,26/1589,EDA
f136,Rachata Ausavarungnirun,Unknown,,,117/0573,Computer Architecture
f137,Guohao Dai,Unknown,,,147/1470,EDA
f138,Nael B. Abu-Ghazaleh,Univ. of California - Riverside,,,86/2654,Computer Architecture
f139,Linxiao Shen,Unknown,,,208/3071,Circuits & VLSI Design
f140,Xueqing Li,Unknown,,,01/6993-2,EDA
f141,Shreyas Sen,Unknown,,,33/4921,Circuits & VLSI Design
f142,Lee-Sup Kim,Unknown,,,75/34,EDA
f143,Mingjie Liu,Unknown,,,97/9924,EDA
f144,Ang Li,Unknown,,,33/2805-6,Computer Architecture
f145,Won Woo Ro,Unknown,,,r/WonWooRo,Computer Architecture
f146,Le Ye,Unknown,,,94/9850,Circuits & VLSI Design
f147,Lieven Eeckhout,Unknown,,,e/LievenEeckhout,Computer Architecture
f148,Abhishek Bhattacharjee,Princeton University,,,78/4478,Computer Architecture
f149,Pavan Kumar Hanumolu,Unknown,,,176/5982,Circuits & VLSI Design
f150,Dimitrios Skarlatos,Unknown,,,191/7793-2,Computer Architecture
f151,Ying-Hsi Lin,Unknown,,,71/10711,Circuits & VLSI Design
f152,Yan Lu,Unknown,,,15/4830-2,Circuits & VLSI Design
f153,Jongwoo Lee,Unknown,,,92/3440,Circuits & VLSI Design
f154,Houman Homayoun,Univ. of California - Davis,,,63/3012,EDA
f155,Jingwen Leng,Shanghai Jiao Tong University,,,131/5131,Computer Architecture
f156,Iris Hui-Ru Jiang,Unknown,,,96/1943,EDA
f157,Marian Verhelst,Unknown,,,92/3233,Circuits & VLSI Design
f158,Ahmed Louri,Unknown,,,17/5827,Computer Architecture
f159,Deliang Fan,Arizona State University,,,129/1701,EDA
f160,Song Han,Unknown,,,80/806-3,EDA
f161,Yuzhe Ma,Unknown,,,172/4863,EDA
f162,Saibal Mukhopadhyay,Georgia Institute of Technology,,,66/1210,EDA
f163,Hasan Hassan,Unknown,,,147/4013,Computer Architecture
f164,Jian Huang,HUST,,,51/494-6,Computer Architecture
f165,Li Jiang,Unknown,,,45/4954-2,EDA
f166,Guangyu Sun,Unknown,,,29/6473-3,EDA
f167,Xue Lin,Unknown,,,94/7236-1,EDA
f168,Jun Yu,Unknown,,,50/5754-10,EDA
f169,Parthasarathy Ranganathan,Unknown,,,12/6848,Computer Architecture
f170,Reetuparna Das,University of Michigan,,,41/1231,Computer Architecture
f171,Runsheng Wang,Unknown,,,01/4141,EDA
f172,Mengjia Yan,Unknown,,,137/0590,Computer Architecture
f173,Edoardo Charbon,Unknown,,,c/ECharbon,Circuits & VLSI Design
f174,Wei Deng,Unknown,,,69/508-1,Circuits & VLSI Design
f175,Masoud Babaie,Unknown,,,46/6537,Circuits & VLSI Design
f176,Alper Buyuktosunoglu,Unknown,,,18/2863,Computer Architecture
f177,Win-San Khwa,Unknown,,,176/6156,Circuits & VLSI Design
f178,Bing Li,Unknown,,,13/2692-5,EDA
f179,Tianyu Jia,Unknown,,,170/2996,EDA
f180,Jie Gu,Unknown,,,20/6440-1,Circuits & VLSI Design
f181,Weikang Qian,Unknown,,,26/1188,EDA
f182,Akash Kumar,Unknown,,,29/414,EDA
f183,Xiaoyao Liang,Shanghai Jiao Tong University,,,88/6436,EDA
f184,Jisung Park,Unknown,,,123/2642-1,Computer Architecture
f185,Rolf Drechsler,University of Bremen,,,d/RolfDrechsler,EDA
f186,Massoud Pedram,Unknown,,,p/MassoudPedram,EDA
f187,Hadi Esmaeilzadeh,Univ. of California - San Diego,,,00/809,Computer Architecture
f188,Xulong Tang,University of Pittsburgh,,,66/10956,Computer Architecture
